Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/20/2016,10544,6.6799998283,6.6799998283,0.0,1.9600000381,0.4799999893,4.2399997711,0.0,28,12,205,818,1786
1503960366,4/27/2016,18134,12.2100000381,12.2100000381,0.0,6.4000000954,0.4099999964,5.4099998474,0.0,78,11,243,1108,2159
1503960366,5/7/2016,11992,7.7100000381,7.7100000381,0.0,2.4600000381,2.1199998856,3.1300001144,0.0,37,46,175,833,1821
1624580081,4/17/2016,6175,4.0599999428,4.0599999428,0.0,1.0299999714,1.5199999809,1.4900000095,0.0099999998,15,22,127,1276,1554
1624580081,5/5/2016,2470,1.6100000143,1.6100000143,0.0,0.0,0.0,1.5800000429,0.0199999996,0,0,117,1323,1370
1624580081,5/12/2016,2971,1.9299999475,1.9299999475,0.0,0.0,0.0,1.9199999571,0.0099999998,0,0,107,890,1002
1644430081,4/22/2016,3673,2.6700000763,2.6700000763,0.0,0.0,0.0,2.6600000858,0.0099999998,0,0,86,1354,2344
1644430081,4/23/2016,6637,4.8299999237,4.8299999237,0.0,0.0,0.5799999833,4.25,0.0,0,15,160,1265,2677
1844505072,4/25/2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1347
1927972279,4/27/2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2063
1927972279,5/2/2016,3790,2.6199998856,2.6199998856,0.0,1.1599999666,0.3000000119,1.1599999666,0.0,16,8,94,1322,2505
1927972279,5/4/2016,1786,1.2400000095,1.2400000095,0.0,0.0,0.0,1.2400000095,0.0,0,0,87,1353,2338
2022484408,4/19/2016,11548,8.529999733,8.529999733,0.0,3.2899999619,0.2399999946,5.0,0.0,31,7,250,1152,2489
2022484408,5/12/2016,9117,6.4099998474,6.4099998474,0.0,1.2799999714,0.6700000167,4.4400000572,0.0,16,16,236,728,1853
2026352035,4/13/2016,4993,3.0999999046,3.0999999046,0.0,0.0,0.0,3.0999999046,0.0,0,0,238,663,1521
2026352035,5/12/2016,8891,5.5100002289,5.5100002289,0.0,0.0,0.0,5.5100002289,0.0,0,0,343,330,1364
2320127002,4/22/2016,5583,3.7599999905,3.7599999905,0.0,0.0,0.0,3.7599999905,0.0,0,0,266,1174,1851
2347167796,4/28/2016,5439,3.5999999046,3.5999999046,0.0,0.0,0.0,3.5999999046,0.0,0,0,229,764,1854
2873212765,4/12/2016,8796,5.9099998474,5.9099998474,0.0,0.1099999994,0.9300000072,4.8800001144,0.0,2,21,356,1061,1982
2873212765,4/13/2016,7618,5.1199998856,5.1199998856,0.0,0.0,0.2199999988,4.8800001144,0.0199999996,0,8,404,1028,2004
2873212765,4/15/2016,8482,5.6999998093,5.6999998093,0.0,0.0,0.0,5.6900000572,0.0099999998,0,0,448,992,2063
2873212765,4/19/2016,7948,5.3699998856,5.3699998856,0.0,0.0,0.0,5.3600001335,0.0,0,0,389,1051,1956
2873212765,5/3/2016,7412,4.9800000191,4.9800000191,0.0,0.0599999987,0.25,4.6599998474,0.0099999998,1,6,363,1070,1906
2873212765,5/9/2016,7726,5.1900000572,5.1900000572,0.0,0.0,0.0,5.1900000572,0.0,0,0,345,1095,1906
3372868164,4/15/2016,7451,5.0799999237,5.0799999237,0.0,0.0,0.0,5.0599999428,0.0199999996,0,0,335,1105,1908
3372868164,4/20/2016,4880,3.3299999237,3.3299999237,0.0,0.8399999738,0.0900000036,2.3800001144,0.0199999996,15,3,274,1148,1867
3372868164,4/23/2016,7396,5.0700001717,5.0700001717,0.0,1.3999999762,0.0799999982,3.5799999237,0.0,20,2,303,1115,1995
3372868164,4/30/2016,5250,3.5799999237,3.5799999237,0.0,1.0599999428,0.0900000036,2.4200000763,0.0099999998,17,4,300,1119,1946
3977333714,4/13/2016,10035,6.7100000381,6.7100000381,0.0,2.0299999714,2.1300001144,2.5499999523,0.0,31,46,153,754,1495
3977333714,4/25/2016,11177,8.4799995422,8.4799995422,0.0,5.6199998856,0.4300000072,2.4100000858,0.0,50,9,133,781,1570
3977333714,5/1/2016,10414,7.0700001717,7.0700001717,0.0,2.6700000763,1.9800000191,2.4100000858,0.0,41,40,124,691,1501
3977333714,5/9/2016,14687,10.0799999237,10.0799999237,0.0,0.7699999809,5.5999999046,3.5499999523,0.0,8,122,151,1159,1667
